Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
BATAV;BATAVIA;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.3051888888888885;50.72385;50.72385, 2.30518888889
SSCHR;ST-CHRISTOL;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;4.069480555555555;43.70433333333334;43.7043333333, 4.06948055556
AIRE;AIRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.3963194444444444;50.64440555555556;50.6444055556, 2.39631944444
P.SAL;PONT-SALOMON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.243427777777778;45.334450000000004;45.33445, 4.24342777778
SSSIX;ST-JEAN-DE-SIXT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.4187;45.91461388888889;45.9146138889, 6.4187
VALI5;VALIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.928758333333334;43.44998888888889;43.4499888889, 4.92875833333
GUEZE;GUEZENNEC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-3.1433055555555556;48.70805;48.70805, -3.14330555556
B.BAI;BAINS-LES-BAINS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.2741694444444445;48.00598055555555;48.0059805556, 6.27416944444
THURI;THURIES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.255047222222222;44.12636388888889;44.1263638889, 2.25504722222
NEUVY;NEUVY;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.8929416666666667;47.510822222222224;47.5108222222, 2.89294166667
NEVER;NEVERS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.183386111111111;46.99828611111111;46.9982861111, 3.18338611111
FUMEL;FUMEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.9573444444444444;44.48927777777778;44.4892777778, 0.957344444444
BOULI;BOULIEU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.669161111111111;45.26515277777778;45.2651527778, 4.66916111111
SSELB;ST-AUBIN-LES-ELBEUF;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.003625;49.30801111111111;49.3080111111, 1.003625
NAOUT;NAOUTOT;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.5179888888888889;43.85962777777778;43.8596277778, -0.517988888889
WEPPE;WEPPES;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;2.8966666666666665;50.644425;50.644425, 2.89666666667
SEVRE;SEVRES;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.330472222222222;48.85135833333334;48.8513583333, 2.33047222222
